outside_temp,outside_humidity,inside_temp,inside_humidity
-2.1,57.5,40.3,26.0
13.6,57.6,39.2,27.3
19.7,75.1,42.2,34.6
12.3,68.0,42.5,37.2
29.5,60.4,44.5,40.0
22.8,58.1,46.9,40.3
29.0,52.5,45.6,35.5
36.2,56.1,48.9,37.3
37.5,53.7,51.1,38.9
37.0,76.5,52.9,40.2
37.4,90.3,55.2,47.8
29.7,69.3,52.1,51.7
37.0,83.4,51.4,50.8
38.7,88.3,53.0,56.4
28.7,69.8,53.7,48.4
26.9,70.1,50.6,40.7
31.5,78.5,49.9,43.3
25.0,50.7,48.9,39.2
28.9,78.4,50.0,38.6
26.2,69.8,51.5,51.6
24.5,56.7,48.5,43.9
27.3,70.6,50.7,40.8
24.5,79.8,51.0,39.1
18.4,71.2,45.7,41.3
13.7,75.7,44.5,40.0
30.9,79.7,46.4,46.7
26.2,76.4,46.5,48.7
6.4,55.9,43.9,45.0
7.1,60.8,40.9,38.8
12.0,60.6,41.8,39.7
15.9,61.6,42.5,38.3
18.0,68.8,44.3,36.6
24.3,60.9,46.3,38.6
31.4,66.8,46.6,40.8
42.0,67.5,50.5,47.0
41.3,74.3,53.8,51.0
38.5,81.5,55.2,49.9
38.5,79.0,55.1,51.6
44.4,54.7,55.7,44.4
23.7,64.2,56.9,41.1
25.4,55.7,50.2,37.1
35.7,53.8,50.2,37.5
43.8,82.6,53.2,47.7
40.9,85.2,55.2,64.1
31.7,61.5,53.5,56.0
33.6,86.2,53.6,52.1
36.9,67.2,53.0,52.5
35.5,67.5,54.4,50.3
51.2,47.1,56.6,49.4
44.5,56.3,59.2,46.2
42.7,45.4,57.5,41.6
47.5,53.3,57.9,42.3
60.8,54.5,59.9,46.6
42.2,40.5,66.5,52.5
34.8,82.9,62.6,51.6
25.3,31.4,57.1,46.2
56.4,49.7,59.4,45.7
53.1,69.6,61.8,50.1
33.8,77.8,58.5,52.1
42.4,54.3,56.5,52.6
38.8,63.9,60.2,48.6
39.5,71.7,57.3,47.2
38.9,56.2,54.4,45.5
36.8,59.3,54.7,41.1
39.7,53.9,56.9,43.4
46.8,59.0,56.0,46.0
60.1,60.3,58.9,50.7
59.9,84.3,62.0,56.7
40.4,48.6,61.9,64.4
37.1,43.6,59.1,60.9
36.6,68.4,56.2,51.3
48.4,59.9,58.2,53.8
51.9,49.3,61.8,57.9
45.3,76.7,62.9,52.0
43.9,80.0,58.8,54.5
41.4,50.0,56.6,51.3
36.2,60.0,56.7,45.7
33.1,48.2,57.1,38.8
37.2,69.0,58.8,40.7
42.4,79.3,57.7,45.3
41.8,58.7,59.1,43.9
47.5,50.5,60.0,39.2
55.8,44.5,60.4,42.9
57.9,47.0,65.1,42.5
45.4,62.4,62.9,41.9
40.9,61.1,60.7,44.0
51.3,56.0,62.3,44.2
69.2,60.0,66.4,52.1
53.3,81.7,66.2,57.8
55.1,63.5,63.2,52.3
55.9,77.3,65.0,52.9
57.9,61.0,64.9,48.5
63.5,62.6,67.4,55.9
62.7,57.0,69.6,53.8
49.5,82.0,68.9,49.7
44.0,75.0,64.9,48.0
53.4,57.2,61.7,46.7
67.5,50.3,64.9,48.2
68.1,58.1,73.7,53.4
55.7,60.5,71.9,45.8
63.2,80.9,70.6,54.3
55.1,80.8,69.4,59.8
49.3,75.5,66.3,52.3
46.9,83.3,63.3,50.6
52.5,84.2,62.7,55.7
56.4,75.1,67.8,53.8
57.5,71.0,70.6,55.7
52.2,74.4,67.5,52.9
50.0,50.2,66.7,45.6
53.5,50.9,65.7,41.7
61.6,54.9,66.7,43.9
66.7,59.5,70.5,46.3
66.2,84.1,72.4,56.4
65.9,87.9,72.8,60.2
73.8,75.1,72.6,62.6
73.5,50.7,73.5,59.6
61.9,52.0,73.2,48.9
55.5,69.9,69.6,48.8
53.2,75.4,67.7,49.5
53.0,86.7,66.6,52.9
52.5,95.6,65.2,59.7
48.8,81.2,64.0,59.9
49.7,71.4,64.2,56.6
55.8,62.5,63.9,55.5
56.2,66.0,65.0,55.0
58.4,61.0,65.6,53.7
63.8,54.3,65.6,54.5
56.9,87.0,66.4,60.8
57.4,83.7,65.4,66.9
63.4,68.5,69.5,62.1
52.9,69.6,65.6,62.8
55.3,52.7,64.7,56.1
66.0,45.3,69.5,48.6
76.8,51.5,75.5,50.5
62.6,89.8,76.1,60.3
61.7,88.5,72.6,67.5
66.0,75.0,74.1,62.0
67.3,68.5,74.8,59.4
68.6,74.9,73.7,60.0
64.4,65.5,74.8,60.7
66.0,59.7,74.7,50.4
74.7,56.3,79.3,49.3
75.3,66.7,81.4,51.5
68.3,82.8,79.9,54.1
67.9,77.3,76.7,55.6
70.9,67.9,72.6,56.9
74.9,64.9,75.0,55.5
78.4,72.7,81.7,54.8
71.3,88.6,83.7,57.9
70.2,81.8,80.1,61.1
75.3,71.6,81.0,57.5
83.7,66.5,81.7,59.7
85.3,67.0,80.6,61.8
85.3,65.8,80.7,63.1
85.1,69.1,82.0,62.3
81.2,72.1,83.2,63.9
81.1,73.6,84.1,62.3
79.8,73.1,81.4,69.7
76.8,72.3,82.1,60.7
79.6,72.2,81.3,58.8
81.4,71.9,77.9,62.8
76.7,64.0,79.1,60.7
77.7,60.4,78.4,57.4
80.2,62.3,80.0,59.4
79.3,67.4,78.8,58.2
82.3,61.8,79.0,59.9
79.0,75.4,77.5,63.2
71.5,77.7,78.4,59.8
74.3,73.5,79.4,57.0
74.3,83.3,81.3,59.2
76.8,71.8,79.2,62.8
79.7,75.3,81.6,61.9
78.2,73.5,82.7,59.3
75.3,71.0,77.1,60.5
72.5,72.5,77.2,59.7
78.9,69.5,78.9,60.9
78.3,81.6,80.1,62.2
70.7,79.6,79.4,61.7
72.4,71.3,77.6,59.6
75.6,88.1,78.0,70.3
72.6,89.2,76.7,67.3
72.9,76.3,77.6,65.1
73.7,68.9,78.6,62.4
79.3,74.0,79.7,61.5
81.8,76.2,83.8,64.1
76.1,90.8,82.3,65.2
75.4,91.2,81.2,68.4
78.8,87.2,79.0,71.3
79.8,86.8,81.9,70.7
80.1,77.3,82.1,67.1
75.1,86.7,84.7,64.5
68.0,82.1,79.8,64.1
67.4,71.5,79.6,60.8
67.8,66.5,75.9,58.4
67.8,68.9,74.5,59.0
69.6,71.4,75.2,59.3
72.1,72.2,75.7,59.7
74.3,75.3,75.7,63.0
77.6,77.0,76.3,63.6
80.1,73.8,78.7,63.3
76.2,71.7,79.3,66.5
80.7,73.5,82.3,62.9
77.9,79.3,84.5,59.4
75.2,85.8,82.0,62.9
76.0,75.6,80.3,66.2
73.3,73.6,80.5,60.8
76.8,75.0,81.6,59.2
79.9,79.5,82.4,60.7
76.3,82.6,79.4,66.8
74.9,84.4,79.2,65.5
73.7,87.8,81.2,68.5
70.8,78.8,77.7,66.7
69.7,81.2,78.2,62.8
65.1,85.5,78.6,63.2
72.2,73.5,78.3,62.6
66.0,65.4,77.2,59.7
61.8,67.0,75.0,55.6
62.2,65.0,77.1,51.7
63.3,68.5,76.9,49.0
66.1,78.6,77.5,52.1
61.1,71.2,77.4,48.3
62.6,76.4,74.4,51.4
63.6,70.7,73.3,53.5
65.2,70.3,74.3,52.5
65.7,75.3,78.0,50.8
65.6,76.4,78.9,52.9
59.2,62.6,75.4,51.4
61.1,60.7,74.4,45.4
56.9,62.4,73.1,43.3
56.0,65.7,70.2,44.6
55.7,68.3,71.8,44.0
60.0,66.0,75.6,43.0
66.7,64.6,76.9,44.1
68.0,64.4,78.6,45.6
68.2,64.5,78.8,46.4
66.4,80.4,78.4,47.4
70.8,74.0,74.6,54.0
70.2,69.8,77.5,52.5
69.0,68.4,79.9,50.3
69.6,67.7,81.3,48.7
70.3,65.6,81.4,48.0
73.2,64.3,82.2,47.0
70.7,79.1,80.5,52.0
69.5,85.0,79.8,55.6
70.9,78.2,75.9,57.2
68.5,88.7,77.4,60.5
64.8,80.0,76.9,62.6
64.6,86.2,78.1,59.2
70.0,64.4,77.7,54.9
71.1,61.9,79.1,51.4
69.8,71.9,76.2,53.0
71.3,65.5,76.1,55.6
69.5,66.7,78.8,53.2
66.0,62.9,78.7,53.3
64.9,64.9,79.0,47.5
71.4,64.5,79.1,47.3
73.7,64.0,78.3,50.2
71.3,57.7,77.1,50.4
72.3,69.4,78.2,51.2
63.7,86.1,78.4,56.2
54.6,69.3,74.6,52.2
51.3,68.4,72.9,42.7
57.0,63.7,73.1,44.7
57.0,70.7,72.1,45.7
60.0,72.8,70.5,48.0
63.2,74.4,72.6,51.9
57.2,85.4,71.6,56.4
58.3,64.4,71.5,54.6
61.0,56.5,72.8,46.5
66.0,84.3,71.1,48.9
54.1,88.6,70.2,58.3
52.0,60.8,68.3,50.3
50.1,73.4,68.9,45.3
47.4,66.9,66.6,42.6
44.5,70.8,65.1,41.7
42.8,72.0,64.6,42.7
43.5,77.4,64.3,42.4
49.6,66.2,64.3,43.5
47.8,66.9,65.9,42.5
49.6,65.3,67.5,40.2
49.7,62.7,68.7,39.0
46.9,73.5,65.9,41.7
46.0,70.5,64.9,40.6
44.0,72.3,65.2,40.5
41.2,77.0,64.1,39.0
48.2,53.7,64.1,37.7
49.5,49.3,65.6,34.8
51.9,69.2,68.7,38.5
43.5,47.7,66.3,37.4
52.6,71.2,68.4,40.1
43.7,90.2,66.7,44.0
31.8,92.3,62.3,48.4
27.4,82.7,58.6,41.8
29.5,72.4,54.8,40.6
41.6,66.9,58.0,45.5
43.1,61.3,61.2,42.3
53.4,69.4,63.8,44.8
60.0,73.3,67.5,53.8
41.8,43.1,62.2,45.0
38.4,63.1,61.1,35.5
38.4,92.8,61.5,41.8
40.6,93.3,61.4,49.8
43.4,97.6,61.7,50.5
45.2,96.2,62.9,53.0
