date,state_temp,state_humidity
2025-01-21,40.3,26.0
2025-01-22,39.2,27.3
2025-01-23,42.2,34.6
2025-01-24,42.5,37.2
2025-01-25,44.5,40.0
2025-01-26,46.9,40.3
2025-01-27,45.6,35.5
2025-01-28,48.9,37.3
2025-01-29,51.1,38.9
2025-01-30,52.9,40.2
2025-01-31,55.2,47.8
2025-02-01,52.1,51.7
2025-02-02,51.4,50.8
2025-02-03,53.0,56.4
2025-02-04,53.7,48.4
2025-02-05,50.6,40.7
2025-02-06,49.9,43.3
2025-02-07,48.9,39.2
2025-02-08,50.0,38.6
2025-02-09,51.5,51.6
2025-02-10,48.5,43.9
2025-02-11,50.7,40.8
2025-02-12,51.0,39.1
2025-02-13,45.7,41.3
2025-02-14,44.5,40.0
2025-02-15,46.4,46.7
2025-02-16,46.5,48.7
2025-02-17,43.9,45.0
2025-02-18,40.9,38.8
2025-02-19,41.8,39.7
2025-02-20,42.5,38.3
2025-02-21,44.3,36.6
2025-02-22,46.3,38.6
2025-02-23,46.6,40.8
2025-02-24,50.5,47.0
2025-02-25,53.8,51.0
2025-02-26,55.2,49.9
2025-02-27,55.1,51.6
2025-02-28,55.7,44.4
2025-03-01,56.9,41.1
2025-03-02,50.2,37.1
2025-03-03,50.2,37.5
2025-03-04,53.2,47.7
2025-03-05,55.2,64.1
2025-03-06,53.5,56.0
2025-03-07,53.6,52.1
2025-03-08,53.0,52.5
2025-03-09,54.4,50.3
2025-03-10,56.6,49.4
2025-03-11,59.2,46.2
2025-03-12,57.5,41.6
2025-03-13,57.9,42.3
2025-03-14,59.9,46.6
2025-03-15,66.5,52.5
2025-03-16,62.6,51.6
2025-03-17,57.1,46.2
2025-03-18,59.4,45.7
2025-03-19,61.8,50.1
2025-03-20,58.5,52.1
2025-03-21,56.5,52.6
2025-03-22,60.2,48.6
2025-03-23,57.3,47.2
2025-03-24,54.4,45.5
2025-03-25,54.7,41.1
2025-03-26,56.9,43.4
2025-03-27,56.0,46.0
2025-03-28,58.9,50.7
2025-03-29,62.0,56.7
2025-03-30,61.9,64.4
2025-03-31,59.1,60.9
2025-04-01,56.2,51.3
2025-04-02,58.2,53.8
2025-04-03,61.8,57.9
2025-04-04,62.9,52.0
2025-04-05,58.8,54.5
2025-04-06,56.6,51.3
2025-04-07,56.7,45.7
2025-04-08,57.1,38.8
2025-04-09,58.8,40.7
2025-04-10,57.7,45.3
2025-04-11,59.1,43.9
2025-04-12,60.0,39.2
2025-04-13,60.4,42.9
2025-04-14,65.1,42.5
2025-04-15,62.9,41.9
2025-04-16,60.7,44.0
2025-04-17,62.3,44.2
2025-04-18,66.4,52.1
2025-04-19,66.2,57.8
2025-04-20,63.2,52.3
2025-04-21,65.0,52.9
2025-04-22,64.9,48.5
2025-04-23,67.4,55.9
2025-04-24,69.6,53.8
2025-04-25,68.9,49.7
2025-04-26,64.9,48.0
2025-04-27,61.7,46.7
2025-04-28,64.9,48.2
2025-04-29,73.7,53.4
2025-04-30,71.9,45.8
2025-05-01,70.6,54.3
2025-05-02,69.4,59.8
2025-05-03,66.3,52.3
2025-05-04,63.3,50.6
2025-05-05,62.7,55.7
2025-05-06,67.8,53.8
2025-05-07,70.6,55.7
2025-05-08,67.5,52.9
2025-05-09,66.7,45.6
2025-05-10,65.7,41.7
2025-05-11,66.7,43.9
2025-05-12,70.5,46.3
2025-05-13,72.4,56.4
2025-05-14,72.8,60.2
2025-05-15,72.6,62.6
2025-05-16,73.5,59.6
2025-05-17,73.2,48.9
2025-05-18,69.6,48.8
2025-05-19,67.7,49.5
2025-05-20,66.6,52.9
2025-05-21,65.2,59.7
2025-05-22,64.0,59.9
2025-05-23,64.2,56.6
2025-05-24,63.9,55.5
2025-05-25,65.0,55.0
2025-05-26,65.6,53.7
2025-05-27,65.6,54.5
2025-05-28,66.4,60.8
2025-05-29,65.4,66.9
2025-05-30,69.5,62.1
2025-05-31,65.6,62.8
2025-06-01,64.7,56.1
2025-06-02,69.5,48.6
2025-06-03,75.5,50.5
2025-06-04,76.1,60.3
2025-06-05,72.6,67.5
2025-06-06,74.1,62.0
2025-06-07,74.8,59.4
2025-06-08,73.7,60.0
2025-06-09,74.8,60.7
2025-06-10,74.7,50.4
2025-06-11,79.3,49.3
2025-06-12,81.4,51.5
2025-06-13,79.9,54.1
2025-06-14,76.7,55.6
2025-06-15,72.6,56.9
2025-06-16,75.0,55.5
2025-06-17,81.7,54.8
2025-06-18,83.7,57.9
2025-06-19,80.1,61.1
2025-06-20,81.0,57.5
2025-06-21,81.7,59.7
2025-06-22,80.6,61.8
2025-06-23,80.7,63.1
2025-06-24,82.0,62.3
2025-06-25,83.2,63.9
2025-06-26,84.1,62.3
2025-06-27,81.4,69.7
2025-06-28,82.1,60.7
2025-06-29,81.3,58.8
2025-06-30,77.9,62.8
2025-07-01,79.1,60.7
2025-07-02,78.4,57.4
2025-07-03,80.0,59.4
2025-07-04,78.8,58.2
2025-07-05,79.0,59.9
2025-07-06,77.5,63.2
2025-07-07,78.4,59.8
2025-07-08,79.4,57.0
2025-07-09,81.3,59.2
2025-07-10,79.2,62.8
2025-07-11,81.6,61.9
2025-07-12,82.7,59.3
2025-07-13,77.1,60.5
2025-07-14,77.2,59.7
2025-07-15,78.9,60.9
2025-07-16,80.1,62.2
2025-07-17,79.4,61.7
2025-07-18,77.6,59.6
2025-07-19,78.0,70.3
