date,outside_temp,outside_humidity
2025-01-21,-2.1,57.5
2025-01-22,13.6,57.6
2025-01-23,19.7,75.1
2025-01-24,12.3,68.0
2025-01-25,29.5,60.4
2025-01-26,22.8,58.1
2025-01-27,29.0,52.5
2025-01-28,36.2,56.1
2025-01-29,37.5,53.7
2025-01-30,37.0,76.5
2025-01-31,37.4,90.3
2025-02-01,29.7,69.3
2025-02-02,37.0,83.4
2025-02-03,38.7,88.3
2025-02-04,28.7,69.8
2025-02-05,26.9,70.1
2025-02-06,31.5,78.5
2025-02-07,25.0,50.7
2025-02-08,28.9,78.4
2025-02-09,26.2,69.8
2025-02-10,24.5,56.7
2025-02-11,27.3,70.6
2025-02-12,24.5,79.8
2025-02-13,18.4,71.2
2025-02-14,13.7,75.7
2025-02-15,30.9,79.7
2025-02-16,26.2,76.4
2025-02-17,6.4,55.9
2025-02-18,7.1,60.8
2025-02-19,12.0,60.6
2025-02-20,15.9,61.6
2025-02-21,18.0,68.8
2025-02-22,24.3,60.9
2025-02-23,31.4,66.8
2025-02-24,42.0,67.5
2025-02-25,41.3,74.3
2025-02-26,38.5,81.5
2025-02-27,38.5,79.0
2025-02-28,44.4,54.7
2025-03-01,23.7,64.2
2025-03-02,25.4,55.7
2025-03-03,35.7,53.8
2025-03-04,43.8,82.6
2025-03-05,40.9,85.2
2025-03-06,31.7,61.5
2025-03-07,33.6,86.2
2025-03-08,36.9,67.2
2025-03-09,35.5,67.5
2025-03-10,51.2,47.1
2025-03-11,44.5,56.3
2025-03-12,42.7,45.4
2025-03-13,47.5,53.3
2025-03-14,60.8,54.5
2025-03-15,42.2,40.5
2025-03-16,34.8,82.9
2025-03-17,25.3,31.4
2025-03-18,56.4,49.7
2025-03-19,53.1,69.6
2025-03-20,33.8,77.8
2025-03-21,42.4,54.3
2025-03-22,38.8,63.9
2025-03-23,39.5,71.7
2025-03-24,38.9,56.2
2025-03-25,36.8,59.3
2025-03-26,39.7,53.9
2025-03-27,46.8,59.0
2025-03-28,60.1,60.3
2025-03-29,59.9,84.3
2025-03-30,40.4,48.6
2025-03-31,37.1,43.6
2025-04-01,36.6,68.4
2025-04-02,48.4,59.9
2025-04-03,51.9,49.3
2025-04-04,45.3,76.7
2025-04-05,43.9,80.0
2025-04-06,41.4,50.0
2025-04-07,36.2,60.0
2025-04-08,33.1,48.2
2025-04-09,37.2,69.0
2025-04-10,42.4,79.3
2025-04-11,41.8,58.7
2025-04-12,47.5,50.5
2025-04-13,55.8,44.5
